pre	post	weight
Roar	Call Me Maybe (Instrumental)	0.7108370729050475
Roar	Super Bass	0.61859099545765761
Roar	Till The World Ends	0.46174356552528412
Roar	Die Young	0.49117149121996395
Roar	Wild Ones (feat. Sia) [J.O.B rock rework]	0.53952813300501734
Roar	Lights (Single Version)	0.51070873247926507
Roar	Only Girl (In The World)	0.69784079544972732
Roar	On The Floor	0.53944881319650118
Roar	Since U Been Gone	0.40697013406264071
Roar	Applause	0.5973154310533888
Roar	Overprotected (Darkchild Remix Edit)	0.73192361220169966
Call Me Maybe (Instrumental)	Roar	0.7108370729050475
Call Me Maybe (Instrumental)	Raise Your Glass	0.61407409070154617
Call Me Maybe (Instrumental)	Till The World Ends	0.67892101284199402
Call Me Maybe (Instrumental)	Only Girl (In The World)	0.66629203740977438
Call Me Maybe (Instrumental)	Since U Been Gone	0.644629356984464
Call Me Maybe (Instrumental)	Applause	0.74682592603286913
Call Me Maybe (Instrumental)	The Edge Of Glory	0.72812307855562708
Don't Stop The Party	Super Bass	0.29710181215461795
Don't Stop The Party	Die Young	0.70210233830281676
Don't Stop The Party	Lights (Single Version)	0.43518103558225202
Don't Stop The Party	The Way You Make Me Feel	0.74253181150112468
Don't Stop The Party	On The Floor	0.43079841072243102
Don't Stop The Party	Treasure	0.59624196672680863
Don't Stop The Party	Applause	0.66963589066990314
Don't Stop The Party	Overprotected (Darkchild Remix Edit)	0.43506433374936054
Don't Stop The Party	Wanna Be Startin' Somethin'	0.33730393285050547
Raise Your Glass	Call Me Maybe (Instrumental)	0.61407409070154617
Raise Your Glass	Only Girl (In The World)	0.36734504296686826
Raise Your Glass	Treasure	0.64000839155870137
Raise Your Glass	Applause	0.63979697282336612
Raise Your Glass	The Edge Of Glory	0.77350303469304849
Tongue Tied	Womanizer	0.51894624421152691
Tongue Tied	The Edge Of Glory	0.44253374844189791
Super Bass	Roar	0.61859099545765761
Super Bass	Don't Stop The Party	0.29710181215461795
Super Bass	Till The World Ends	0.57588709498201363
Super Bass	Die Young	0.43467777111924044
Super Bass	Wild Ones (feat. Sia) [J.O.B rock rework]	0.7290751759690457
Super Bass	Lights (Single Version)	0.22605277701629162
Super Bass	Only Girl (In The World)	0.62114896078209803
Super Bass	The Way You Make Me Feel	0.54370349889703795
Super Bass	On The Floor	0.17452830406840911
Super Bass	Since U Been Gone	0.521936877124339
Super Bass	Treasure	0.54797592358818126
Super Bass	Applause	0.46066746818870269
Super Bass	Overprotected (Darkchild Remix Edit)	0.4695222362420714
Super Bass	Wanna Be Startin' Somethin'	0.37935930704558196
Till The World Ends	Roar	0.46174356552528412
Till The World Ends	Call Me Maybe (Instrumental)	0.67892101284199402
Till The World Ends	Super Bass	0.57588709498201363
Till The World Ends	Die Young	0.24861030225661943
Till The World Ends	Party In The U.S.A.	0.76755734326266489
Till The World Ends	Wild Ones (feat. Sia) [J.O.B rock rework]	0.26377548720612254
Till The World Ends	Lights (Single Version)	0.54827000062367248
Till The World Ends	Only Girl (In The World)	0.73975582821382546
Till The World Ends	The Way You Make Me Feel	0.51028092135068992
Till The World Ends	On The Floor	0.45890553723761468
Till The World Ends	Since U Been Gone	0.17656621192869507
Till The World Ends	Applause	0.514314365075486
Till The World Ends	The Edge Of Glory	0.72768556315368005
Die Young	Roar	0.49117149121996395
Die Young	Don't Stop The Party	0.70210233830281676
Die Young	Super Bass	0.43467777111924044
Die Young	Till The World Ends	0.24861030225661943
Die Young	Wild Ones (feat. Sia) [J.O.B rock rework]	0.30327836042290096
Die Young	Lights (Single Version)	0.47129098125677965
Die Young	The Way You Make Me Feel	0.52666179191677387
Die Young	On The Floor	0.32284424773759313
Die Young	Fighter	0.77110537012666569
Die Young	Since U Been Gone	0.31491719008789792
Die Young	Applause	0.55195700067756981
Die Young	Wanna Be Startin' Somethin'	0.77110580073500823
Party In The U.S.A.	Till The World Ends	0.76755734326266489
Party In The U.S.A.	The Way You Make Me Feel	0.73650602362442441
Party In The U.S.A.	Fighter	0.491865798831089
Party In The U.S.A.	Since U Been Gone	0.73010541171045318
Party In The U.S.A.	Applause	0.75212007169571449
Wild Ones (feat. Sia) [J.O.B rock rework]	Roar	0.53952813300501734
Wild Ones (feat. Sia) [J.O.B rock rework]	Super Bass	0.7290751759690457
Wild Ones (feat. Sia) [J.O.B rock rework]	Till The World Ends	0.26377548720612254
Wild Ones (feat. Sia) [J.O.B rock rework]	Die Young	0.30327836042290096
Wild Ones (feat. Sia) [J.O.B rock rework]	Lights (Single Version)	0.72492818906119605
Wild Ones (feat. Sia) [J.O.B rock rework]	The Way You Make Me Feel	0.69604557978341897
Wild Ones (feat. Sia) [J.O.B rock rework]	On The Floor	0.60570486354817032
Wild Ones (feat. Sia) [J.O.B rock rework]	Since U Been Gone	0.38996998628147039
Wild Ones (feat. Sia) [J.O.B rock rework]	Applause	0.72718486342140365
Lights (Single Version)	Roar	0.51070873247926507
Lights (Single Version)	Don't Stop The Party	0.43518103558225202
Lights (Single Version)	Super Bass	0.22605277701629162
Lights (Single Version)	Till The World Ends	0.54827000062367248
Lights (Single Version)	Die Young	0.47129098125677965
Lights (Single Version)	Wild Ones (feat. Sia) [J.O.B rock rework]	0.72492818906119605
Lights (Single Version)	Only Girl (In The World)	0.45095653048736473
Lights (Single Version)	The Way You Make Me Feel	0.62071563955027886
Lights (Single Version)	On The Floor	0.1880087361376232
Lights (Single Version)	Since U Been Gone	0.44221188451151844
Lights (Single Version)	Treasure	0.47237096280210994
Lights (Single Version)	Applause	0.31086212576996786
Lights (Single Version)	Overprotected (Darkchild Remix Edit)	0.41728599392434718
Lights (Single Version)	Wanna Be Startin' Somethin'	0.49241178267164937
Only Girl (In The World)	Roar	0.69784079544972732
Only Girl (In The World)	Call Me Maybe (Instrumental)	0.66629203740977438
Only Girl (In The World)	Raise Your Glass	0.36734504296686826
Only Girl (In The World)	Super Bass	0.62114896078209803
Only Girl (In The World)	Till The World Ends	0.73975582821382546
Only Girl (In The World)	Lights (Single Version)	0.45095653048736473
Only Girl (In The World)	The Way You Make Me Feel	0.75234437262476339
Only Girl (In The World)	On The Floor	0.59892615444110542
Only Girl (In The World)	Since U Been Gone	0.59619880849721218
Only Girl (In The World)	Treasure	0.39943649155285316
Only Girl (In The World)	Applause	0.3346437993804024
Only Girl (In The World)	The Edge Of Glory	0.76201833454626999
Only Girl (In The World)	Overprotected (Darkchild Remix Edit)	0.6139708558136413
Only Girl (In The World)	Wanna Be Startin' Somethin'	0.69562042131423529
Womanizer	Tongue Tied	0.51894624421152691
Womanizer	The Edge Of Glory	0.28631365530558495
The Way You Make Me Feel	Don't Stop The Party	0.74253181150112468
The Way You Make Me Feel	Super Bass	0.54370349889703795
The Way You Make Me Feel	Till The World Ends	0.51028092135068992
The Way You Make Me Feel	Die Young	0.52666179191677387
The Way You Make Me Feel	Party In The U.S.A.	0.73650602362442441
The Way You Make Me Feel	Wild Ones (feat. Sia) [J.O.B rock rework]	0.69604557978341897
The Way You Make Me Feel	Lights (Single Version)	0.62071563955027886
The Way You Make Me Feel	Only Girl (In The World)	0.75234437262476339
The Way You Make Me Feel	On The Floor	0.52432590464339612
The Way You Make Me Feel	Since U Been Gone	0.51923078960685687
The Way You Make Me Feel	Applause	0.54474313032686617
The Way You Make Me Feel	Wanna Be Startin' Somethin'	0.73075528278696056
On The Floor	Roar	0.53944881319650118
On The Floor	Don't Stop The Party	0.43079841072243102
On The Floor	Super Bass	0.17452830406840911
On The Floor	Till The World Ends	0.45890553723761468
On The Floor	Die Young	0.32284424773759313
On The Floor	Wild Ones (feat. Sia) [J.O.B rock rework]	0.60570486354817032
On The Floor	Lights (Single Version)	0.1880087361376232
On The Floor	Only Girl (In The World)	0.59892615444110542
On The Floor	The Way You Make Me Feel	0.52432590464339612
On The Floor	Since U Been Gone	0.3978966267882485
On The Floor	Treasure	0.63025424567823052
On The Floor	Applause	0.37472643304022296
On The Floor	Overprotected (Darkchild Remix Edit)	0.55732979844590869
On The Floor	Wanna Be Startin' Somethin'	0.53967369624498196
Fighter	Die Young	0.77110537012666569
Fighter	Party In The U.S.A.	0.491865798831089
Since U Been Gone	Roar	0.40697013406264071
Since U Been Gone	Call Me Maybe (Instrumental)	0.644629356984464
Since U Been Gone	Super Bass	0.521936877124339
Since U Been Gone	Till The World Ends	0.17656621192869507
Since U Been Gone	Die Young	0.31491719008789792
Since U Been Gone	Party In The U.S.A.	0.73010541171045318
Since U Been Gone	Wild Ones (feat. Sia) [J.O.B rock rework]	0.38996998628147039
Since U Been Gone	Lights (Single Version)	0.44221188451151844
Since U Been Gone	Only Girl (In The World)	0.59619880849721218
Since U Been Gone	The Way You Make Me Feel	0.51923078960685687
Since U Been Gone	On The Floor	0.3978966267882485
Since U Been Gone	Applause	0.36033360895365907
Since U Been Gone	The Edge Of Glory	0.65326348300973891
Treasure	Don't Stop The Party	0.59624196672680863
Treasure	Raise Your Glass	0.64000839155870137
Treasure	Super Bass	0.54797592358818126
Treasure	Lights (Single Version)	0.47237096280210994
Treasure	Only Girl (In The World)	0.39943649155285316
Treasure	On The Floor	0.63025424567823052
Treasure	Applause	0.553813156474802
Treasure	Overprotected (Darkchild Remix Edit)	0.36735507361060865
Treasure	Wanna Be Startin' Somethin'	0.4554564849716875
Applause	Roar	0.5973154310533888
Applause	Call Me Maybe (Instrumental)	0.74682592603286913
Applause	Don't Stop The Party	0.66963589066990314
Applause	Raise Your Glass	0.63979697282336612
Applause	Super Bass	0.46066746818870269
Applause	Till The World Ends	0.514314365075486
Applause	Die Young	0.55195700067756981
Applause	Party In The U.S.A.	0.75212007169571449
Applause	Wild Ones (feat. Sia) [J.O.B rock rework]	0.72718486342140365
Applause	Lights (Single Version)	0.31086212576996786
Applause	Only Girl (In The World)	0.3346437993804024
Applause	The Way You Make Me Feel	0.54474313032686617
Applause	On The Floor	0.37472643304022296
Applause	Since U Been Gone	0.36033360895365907
Applause	Treasure	0.553813156474802
Applause	The Edge Of Glory	0.69825050806435762
Applause	Overprotected (Darkchild Remix Edit)	0.66016654122347518
Applause	Wanna Be Startin' Somethin'	0.70377992412821189
The Edge Of Glory	Call Me Maybe (Instrumental)	0.72812307855562708
The Edge Of Glory	Raise Your Glass	0.77350303469304849
The Edge Of Glory	Tongue Tied	0.44253374844189791
The Edge Of Glory	Till The World Ends	0.72768556315368005
The Edge Of Glory	Only Girl (In The World)	0.76201833454626999
The Edge Of Glory	Womanizer	0.28631365530558495
The Edge Of Glory	Since U Been Gone	0.65326348300973891
The Edge Of Glory	Applause	0.69825050806435762
Overprotected (Darkchild Remix Edit)	Roar	0.73192361220169966
Overprotected (Darkchild Remix Edit)	Don't Stop The Party	0.43506433374936054
Overprotected (Darkchild Remix Edit)	Super Bass	0.4695222362420714
Overprotected (Darkchild Remix Edit)	Lights (Single Version)	0.41728599392434718
Overprotected (Darkchild Remix Edit)	Only Girl (In The World)	0.6139708558136413
Overprotected (Darkchild Remix Edit)	On The Floor	0.55732979844590869
Overprotected (Darkchild Remix Edit)	Treasure	0.36735507361060865
Overprotected (Darkchild Remix Edit)	Applause	0.66016654122347518
Overprotected (Darkchild Remix Edit)	Wanna Be Startin' Somethin'	0.42846455015630647
Wanna Be Startin' Somethin'	Don't Stop The Party	0.33730393285050547
Wanna Be Startin' Somethin'	Super Bass	0.37935930704558196
Wanna Be Startin' Somethin'	Die Young	0.77110580073500823
Wanna Be Startin' Somethin'	Lights (Single Version)	0.49241178267164937
Wanna Be Startin' Somethin'	Only Girl (In The World)	0.69562042131423529
Wanna Be Startin' Somethin'	The Way You Make Me Feel	0.73075528278696056
Wanna Be Startin' Somethin'	On The Floor	0.53967369624498196
Wanna Be Startin' Somethin'	Treasure	0.4554564849716875
Wanna Be Startin' Somethin'	Applause	0.70377992412821189
Wanna Be Startin' Somethin'	Overprotected (Darkchild Remix Edit)	0.42846455015630647
